Text,Title
    وزارت عتفتهران-ایرنا- وزیر علوم، تحقیقات و فناوری با صدور پیامی از رسانه ها و نمایندگان مجلس شورای اسلامی تشکر کرد.  ,education
    شورای عالی انقلاب فرهنگیتهران-ایرنا- دبیر شورای عالی انقلاب فرهنگی درپیام تبریک کسب رای اعتماد کابینه از مجلس خطاب به رییس جمهوری جدید گفت: دولت با کار علمی و تخصصی، توجه به شرایط حال و آینده ایران…  ,education
 نمایندگان مجلس شورای اسلامی با انتخاب محمدعلی زلفی گل به عنوان وزیر علوم، تحقیقات و فناوری موافقت کردند.  ,education
    آموزش و پرورشتهران-ایرنا- وزیر آموزش و پرورش در نخستین روز هفته دولت، با هدف بررسی نحوه رسیدگی به درخواست‌های همکاران این وزارتخانه از اداره راهبری مکاتبات، اسناد و میز خدمت، به طور سرزده…  ,education
تفاهم‌نامه همکاری‌های تحقیقاتی بین پژوهشگاه بیوتکنولوژی کشاورزی و موسسه تحقیقات اصلاح و تهیه نهال و بذر چغندرقند به منظور فراهم آوردن امکان همکاری های سازنده…  ,education
 خبرگزاری جمهوری اسلامی (ایرنا) هشتمین شماره بولتن «تازه‌های علمی کرونا» را منتشر کرد.  ,education
 وزیر پیشنهادی آموزش و پرورش در توئیتی عنوان کرد که مرکز پژوهش‌های مجلس برنامه‌های او را منطبق با سند تحول بنیادین و سایر اسناد بالادستی آموزش و پرورش دانسته…  ,education
 اجرای ۱۳ پروژه مدنظر ستاد توسعه زیست‌فناوری معاونت علمی و فناوری ریاست جمهوری منجر به افزایش سهم محصولات دریایی در سبد غذایی ایرانیان می‌شود.  ,education
    آموزش و پرورشتهران-ایرنا- وزیر آموزش و پرورش گفت: آموزش و پرورش، انتخابی عالمانه، هوشمندانه وضرورتی مهم برای تمدن سازی است.  ,education
 رییس سازمان آموزش‌وپرورش استثنایی گفت: قرآن، عترت و نماز مثلث طلایی نظام تعلیم تربیت است و مسابقات قرآن و عترت و نماز بهترین مسیر تحقق و رشد ساحت اعتقادی و دینی…  ,education
 کارشناس آموزش و پرورش گفت: باغگلی علاوه بر متخصص بودن، به چینش نیروهای باتجربه در آموزش و ‌پرورش اعتقاد دارد.  ,education
 یک شرکت دانش‌بنیان با تولید طیف سنج نانو دراپ که در تشخیص ساختار ویروس‌ها کارآمد است و از همین رو در تشخیص ویروس کرونا نیز کاربرد دارد، توانسته نیاز کشور را…  ,education
 معاون توسعه اشتغال اجتماع‌محور بنیاد برکت گفت: تا پایان سال جاری ۲ هزار و ۵۰۰ طرح اشتغال‌زایی از طریق آزادکاری (فریلنسینگ) در مناطق محروم و کمتر توسعه یافته…  ,education
 معاونت تحقیقات و فناوری وزارت بهداشت اعلام کرد: شرکت‌های دانش‌بنیان و هسته‌های فناور می‌توانند، بدون نیاز به مجوز سازمان صنعت معدن و تجارت تا زمانی که فضای…  ,education
 رییس سازمان نوسازی، توسعه و تجهیز مدارس کشور گفت: امروز موضوع ارتقای کیفیت معماری مدارس مطالبه جامعه است.  ,education
 عضو هیات رئیسه دانشگاه فرهنگیان از اعلام نتایج آزمون جامع پایانی گروه نخست مشمولان قانون تعیین تکلیف وزارت آموزش و پرورش خبر داد.  ,education
 رییس موسسه استنادی علوم و پایش علم و فناوری گفت: بیش از ۳۲ درصد کل بیماران کرونایی کشور مربوط به بیماران در ۲ ماه تیر و مرداد ۱۴۰۰ بوده؛ به طوری که آمار بیماران…  ,education
 مرکز سنجش آموزش پزشکی اعلام کرد: مهلت انتخاب رشته محل‌های کارشناسی ارشد علوم پزشکی فردا پنجشنبه چهارم شهریور ماه پایان می‌یابد.  ,education
    وزارت عتفتهران-ایرنا- وزیر علوم، تحقیقات و فناوری در آخرین روزهای مسئولیت خود در این سمت، با ارسال نامه‌ای به روسا و مدیران دانشگاه‌ها و مراکز آموزش عالی، پژوهشی و فناوری از خدمات…  ,education
 دبیر شورای عالی انقلاب فرهنگی گفت: مهار کرونا ابعاد چند رشته‌ای و چند وجهی دارد و مستلزم اتخاذ راهبردهای عملیاتی جدی است. در موضوع مدیریت دانشی کرونا ‌و مدل…  ,education
 رییس سازمان غذا و دارو گفت: روابط عمومی شرکت فایزر اعلام کرده است که فقط با دولت‌ها در ارتباط خواهد بود و این یعنی توزیع این واکسن از طریق شرکت‌های خصوصی امکان‌پذیر…  ,education
 رییس مرکز سنجش آموزش پزشکی گفت: دانشجویان علوم پزشکی برای شرکت در آزمون های جامع شهریور ماه ۱۴۰۰، می توانند در حوزه های امتحانی محل سکونت خود شرکت کنند.  ,education
 معاونت علمی و فناوری ریاست جمهوری، از ۱۷ شرکت دانش‌بنیان و خلاق حمایت کرده است تا محصولات و خدماتشان در حوزه مدیریت ترافیک و آلودگی هوا را توسعه دهند.  ,education
 رئیس مرکز برنامه ریزی منابع انسانی و امور اداری وزارت آموزش و پرورش گفت: اخبار منتشر شده در شبکه های اجتماعی، در خصوص «ابهامات پرداخت حقوق مردادماه فرهنگیان»…  ,education
 داوطلبان مجاز در آزمون کارشناسی ارشد رشته‌های گروه پزشکی سال ۱۴۰۰ از دیروز دوم شهریور تا پنجشنبه چهارم شهریورماه می‌توانند نسبت به انتخاب رشته خود در کدرشته‌های…  ,education
    وزارت عتفتهران-ایرنا- مدیرکل فرهنگی و اجتماعی وزارت علوم، تحقیقات و فناوری، از ابلاغ شیوه‌نامه اعطای کارنامه فرهنگی اجتماعی به دانشجویان پس از دانش‌آموختگی توسط معاونت فرهنگی و اجتماعی…  ,education
 رییس صندوق رفاه دانشجویان وزارت بهداشت از روند نزولی بدهی‌های معوق، کاهش ۵۰ درصدی بدهکاری‌ها و سه برابر شدن سرانه وام‌های دانشجویان علوم پزشکی در سال جاری خبر…  ,education
 مطالعات جدید محققان انجمن قلب آمریکا نشان می‌دهد مواد غذایی حاوی فلاونوئید با تاثیر بر میکروبیوم روده منجر به کاهش فشار خون می‌شوند.  ,education
 قسمت عمده سیستم تصفیه بدن به عهده کبد است. عملکرد این عضو به اندازه‌ای حیاتی است که کمترین آسیب به آن می‌تواند خطرات جدی و جبران‌ناپذیری به همراه داشته باشد؛…  ,education
 اما و اگرهای بازگشایی مدارس موضوعی تکراری شده است، مسوولان صحبت از لزوم بازگشایی مدارس می‌کنند و گاهی به دلیل خیزهای کرونا آن را عملی نمی‌دانند. واکسیناسیون…  ,education
    دانشگاه‌هاتهران-ایرنا- حجت‌الاسلام محمد اسعدی حافظ و پژوهشگر قرآن کریم و دانشیار گروه قرآن پژوهی پژوهشگاه حوزه و دانشگاه دارفانی را وداع کرد و وزیر علوم به همین مناسبت پیام تسلیتی صادر…  ,education
 همزمان با آغاز هفته دولت خط تولید تفتان ماسک، ماسک سه لایه پزشکی با حضور معاون علمی و فناوری رییس جمهوری، استاندار سیستان و بلوچستان، مسوولان دانشگاه علوم پزشکی…  ,education
 مجوز استقرار شتاب‌دهنده‌ها در مراکز رشد فناوری با بازبینی اساسنامه مراکز رشد واحدهای فناوری در علوم پزشکی توسط شورای گسترش و با پیگیری مرکز توسعه فناوری سلامت…  ,education
 رییس پژوهشگاه بیوتکنولوژی کشاورزی، تنها راه برای برون رفت از محدودیت‌های اقلیمی ایران را ورود و توسعه هرچه بیشتر علم و فناوری و کاربردی کردن فناوری‌های نوین…  ,education
 فرمانده ستاد عملیات مدیریت بیماری کرونا در کلان شهر تهران گفت: در ۳ روز اخیر آمار مراجعان سرپایی روبه کاهش است که امیدواریم این روند ادامه پیدا کند.  ,education
 وزارت آموزش و پرورش با انتشار اطلاعیه ای عنوان کرد که واریز حقوق مردادماه پرسنل آموزش و پرورش سراسر کشور به حساب آنها در حال انجام است.  ,education
    سنجش و آزمونتهران-ایرنا- ثبت‌نام چهارمین آزمون ورودی انتخاب اعضای جامعه مشاوران رسمی مالیاتی ایران ویژه سال ۱۴۰۰ از امروز آغاز شد.  ,education
 رییس سازمان نوسازی، توسعه و تجهیز مدارس گفت: تا پایان مهرماه امسال تعداد ۹ هزار کلاس درس بهره‌برداری و تحویل آموزش و پرورش داده می‌شود.  ,education
 دانشگاه علوم پزشکی شهید بهشتی گفت: مادران باردار در خطر بالاتر ابتلا به کرونا نیستند، اما در صورت درگیری، احتمال بروز اشکال شدیدتر بیماری در آنها نسبت به زنان…  ,education
 وزیر پیشنهادی آموزش و پرورش گفت: خوشحالم که برنامه‌های تحولی دولت سیزدهم با تأیید آیت الله اعرافی همراه شده است.  ,education
 نتیجه آزمون وکالت ۹۹ در درگاه الکترونیکی سازمان سنجش آموزش کشور منتشر شد.  ,education
 مدیر توانمندسازی صندوق نوآوری و شکوفایی از انعقاد ۶۵ میلیارد ریال قرارداد فناورانه بین نیروی انتظامی و شرکت‌های دانش‌بنیان و فناور با حمایت این صندوق خبر داد.  ,education
 وزیر پیشنهادی علوم، تحقیقات و فناوری در جلسه رای اعتماد مجلس شورای اسلامی گفت: مقررات فعلی حوزه فناوری کارآمد نیست و با حمایت نمایندگان تلاش می کنیم در برنامه…  ,education
 یک شرکت دانش بنیان ایرانی موفق به تولید آسیاب گلوله‌ای سیاره‌ای شد که می‌تواند نانوذرات برای استفاده در صنایع مختلف تولید کند. این محصول دانش بنیان موفق به دریافت…  ,education
 توسعه و ساخت گوشی‌های هوشمند پزشکی در قالب طرح کلان ملی فناور توسط معاونت علمی و فناوری ریاست جمهوری و با تلاش یک شرکت دانش‌بنیان برای ایران ساخت کردن این تجهیز…  ,education
 یکصد و پانزدهمین مرکز تجمیعی واکسیناسیون کرونا با مشارکت سازمان فرهنگی هنری شهرداری تهران، مرکز بهداشت شرق تهران و بسیجیان پایگاه مالک اشتر، در فرهنگسرای خاوران…  ,education
 فرمانده ستاد عملیات مدیریت بیماری کرونا در کلان شهر تهران گفت: تا دیروز بعدازظهر (دوشنبه) میزان واکسیناسیون در تهران از چهار میلیون دز عبور کرده است.  ,education
